Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,02/04/2021 4:20,33.93911,67.709953,56517,2489,51788,2240,Afghanistan,145.1821438,4.403984642
,Albania,02/04/2021 4:20,41.1533,20.1683,125506,2241,91875,31390,Albania,4361.178678,1.785572005
,Algeria,02/04/2021 4:20,28.0339,1.6596,117304,3096,81632,32576,Algeria,267.5056098,2.639296188
,Andorra,02/04/2021 4:20,42.5063,1.5218,12053,115,11365,573,Andorra,15599.55996,0.954119306
,Angola,02/04/2021 4:20,-11.2027,17.8739,22399,538,20508,1353,Angola,68.15194229,2.401892942
,Antigua and Barbuda,02/04/2021 4:20,17.0608,-61.7964,1147,28,857,262,Antigua and Barbuda,1171.268687,2.441150828
,Argentina,02/04/2021 4:20,-38.4161,-63.6167,2363251,55941,2112266,195044,Argentina,5228.91995,2.367120547
,Armenia,02/04/2021 4:20,40.0691,45.0382,193736,3533,173681,16522,Armenia,6537.991937,1.823615642
Australian Capital Territory,Australia,02/04/2021 4:20,-35.4735,149.0124,123,3,120,0,"Australian Capital Territory, Australia",28.73160477,2.43902439
New South Wales,Australia,02/04/2021 4:20,-33.8688,151.2093,5296,54,0,5242,"New South Wales, Australia",65.23774329,1.019637462
Northern Territory,Australia,02/04/2021 4:20,-12.4634,130.8456,109,0,106,3,"Northern Territory, Australia",44.38110749,0
Queensland,Australia,02/04/2021 4:20,-27.4698,153.0251,1485,6,1344,135,"Queensland, Australia",29.02942039,0.404040404
South Australia,Australia,02/04/2021 4:20,-34.9285,138.6007,658,4,641,13,"South Australia, Australia",37.46085966,0.607902736
Tasmania,Australia,02/04/2021 4:20,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
Victoria,Australia,02/04/2021 4:20,-37.8136,144.9631,20484,820,19663,1,"Victoria, Australia",308.9639361,4.00312439
Western Australia,Australia,02/04/2021 4:20,-31.9505,115.8605,944,9,919,16,"Western Australia, Australia",35.88534935,0.953389831
,Austria,02/04/2021 4:20,47.5162,14.5501,549592,9368,503729,36495,Austria,6102.238408,1.704537184
,Azerbaijan,02/04/2021 4:20,40.1431,47.5769,263961,3593,238985,21383,Azerbaijan,2603.377494,1.361185933
,Bahamas,02/04/2021 4:20,25.025885,-78.035889,9171,188,8676,307,Bahamas,2332.11612,2.049940028
,Bahrain,02/04/2021 4:20,26.0275,50.55,145380,523,136064,8793,Bahrain,8543.808912,0.35974687
,Bangladesh,02/04/2021 4:20,23.685,90.3563,617764,9105,544938,63721,Bangladesh,375.1085764,1.473863806
,Barbados,02/04/2021 4:20,13.1939,-59.5432,3659,42,3506,111,Barbados,1273.266962,1.147854605
,Belarus,02/04/2021 4:20,53.7098,27.9534,323043,2257,313628,7158,Belarus,3418.690084,0.698668598
Antwerp,Belgium,02/04/2021 4:20,51.2195,4.4024,112704,0,0,112704,"Antwerp, Belgium",6065.922994,0
Brussels,Belgium,02/04/2021 4:20,50.8503,4.3517,110226,0,0,110226,"Brussels, Belgium",9120.576695,0
East Flanders,Belgium,02/04/2021 4:20,51.0362,3.7373,100629,0,0,100629,"East Flanders, Belgium",6641.897636,0
Flemish Brabant,Belgium,02/04/2021 4:20,50.9167,4.5833,68473,0,0,68473,"Flemish Brabant, Belgium",5974.044103,0
Hainaut,Belgium,02/04/2021 4:20,50.5257,4.0621,132025,0,0,132025,"Hainaut, Belgium",9821.527539,0
Liege,Belgium,02/04/2021 4:20,50.4496,5.8492,112600,0,0,112600,"Liege, Belgium",10171.70856,0
Limburg,Belgium,02/04/2021 4:20,50.9739,5.342,45802,0,0,45802,"Limburg, Belgium",5240.21564,0
Luxembourg,Belgium,02/04/2021 4:20,50.0547,5.4677,25410,0,0,25410,"Luxembourg, Belgium",8927.128493,0
Namur,Belgium,02/04/2021 4:20,50.331,4.8221,48679,0,0,48679,"Namur, Belgium",9847.569919,0
Unknown,Belgium,02/04/2021 4:20,,,16629,23045,0,-6416,"Unknown, Belgium",,138.583198
Walloon Brabant,Belgium,02/04/2021 4:20,50.4,4.35,34323,0,0,34323,"Walloon Brabant, Belgium",8504.233162,0
West Flanders,Belgium,02/04/2021 4:20,51.0536,3.1458,80420,0,0,80420,"West Flanders, Belgium",6725.22738,0
,Belize,02/04/2021 4:20,17.1899,-88.4976,12456,317,12090,49,Belize,3132.631325,2.544958253
,Benin,02/04/2021 4:20,9.3077,2.3158,7313,93,6452,768,Benin,60.32236708,1.271707917
,Bhutan,02/04/2021 4:20,27.5142,90.4336,886,1,869,16,Bhutan,114.8245491,0.112866817
,Bolivia,02/04/2021 4:20,-16.2902,-63.5887,273327,12280,222924,38123,Bolivia,2341.525923,4.492787028
,Bosnia and Herzegovina,02/04/2021 4:20,43.9159,17.6791,171324,6675,131166,33483,Bosnia and Herzegovina,5221.995144,3.896126637
,Botswana,02/04/2021 4:20,-22.3285,24.6849,40878,591,36958,3329,Botswana,1738.287354,1.445765448
Acre,Brazil,02/04/2021 4:20,-9.0238,-70.812,69988,1269,54045,14674,"Acre, Brazil",7935.732225,1.813167972
Alagoas,Brazil,02/04/2021 4:20,-9.5713,-36.782,154199,3576,146077,4546,"Alagoas, Brazil",4620.392724,2.319081187
Amapa,Brazil,02/04/2021 4:20,0.902,-52.003,98044,1311,72266,24467,"Amapa, Brazil",11592.81143,1.337154747
Amazonas,Brazil,02/04/2021 4:20,-3.4168,-65.8561,350288,12031,298476,39781,"Amazonas, Brazil",8451.678173,3.434602384
Bahia,Brazil,02/04/2021 4:20,-12.5797,-41.7007,808461,15472,776831,16158,"Bahia, Brazil",5435.739401,1.9137596
Ceara,Brazil,02/04/2021 4:20,-5.4984,-39.3206,541227,14167,383785,143275,"Ceara, Brazil",5926.657657,2.617570816
Distrito Federal,Brazil,02/04/2021 4:20,-15.7998,-47.8645,345682,6150,321374,18158,"Distrito Federal, Brazil",11464.38725,1.779091766
Espirito Santo,Brazil,02/04/2021 4:20,-19.1834,-40.3089,384362,7553,352521,24288,"Espirito Santo, Brazil",9564.455725,1.965074591
Goias,Brazil,02/04/2021 4:20,-15.827,-49.8362,486646,11725,462167,12754,"Goias, Brazil",6933.905015,2.40934889
Maranhao,Brazil,02/04/2021 4:20,-4.9609,-45.2744,243720,6108,220903,16709,"Maranhao, Brazil",3444.717527,2.506154604
Mato Grosso,Brazil,02/04/2021 4:20,-12.6819,-56.9211,310773,7629,286889,16255,"Mato Grosso, Brazil",8918.812811,2.454846463
Mato Grosso do Sul,Brazil,02/04/2021 4:20,-20.7722,-54.7852,217457,4334,196702,16421,"Mato Grosso do Sul, Brazil",7825.048417,1.993037704
Minas Gerais,Brazil,02/04/2021 4:20,-18.5122,-44.555,1135856,24728,1016078,95050,"Minas Gerais, Brazil",5365.710304,2.177036526
Para,Brazil,02/04/2021 4:20,-1.9981,-54.9306,420372,10503,391866,18003,"Para, Brazil",4886.418652,2.498501327
Paraiba,Brazil,02/04/2021 4:20,-7.24,-36.782,260484,5791,186084,68609,"Paraiba, Brazil",6482.721925,2.223169177
Parana,Brazil,02/04/2021 4:20,-25.2521,-52.0215,851339,16941,598367,236031,"Parana, Brazil",7445.707553,1.989924108
Pernambuco,Brazil,02/04/2021 4:20,-8.8137,-36.9541,352218,12249,298206,41763,"Pernambuco, Brazil",3685.417844,3.477675758
Piaui,Brazil,02/04/2021 4:20,-7.7183,-42.7289,206631,4141,201169,1321,"Piaui, Brazil",6312.761076,2.004055539
Rio Grande do Norte,Brazil,02/04/2021 4:20,-5.4026,-36.9541,197076,4548,142776,49752,"Rio Grande do Norte, Brazil",5619.739407,2.307739146
Rio Grande do Sul,Brazil,02/04/2021 4:20,-30.0346,-51.2177,850220,20063,808641,21516,"Rio Grande do Sul, Brazil",7472.990591,2.359742184
Rio de Janeiro,Brazil,02/04/2021 4:20,-22.9068,-43.1729,651914,37114,605442,9358,"Rio de Janeiro, Brazil",3775.940645,5.693082216
Rondonia,Brazil,02/04/2021 4:20,-11.5057,-63.5806,188336,4196,164607,19533,"Rondonia, Brazil",10597.19507,2.227933056
Roraima,Brazil,02/04/2021 4:20,-2.7376,-62.0751,89853,1346,84118,4389,"Roraima, Brazil",14833.07773,1.498002293
Santa Catarina,Brazil,02/04/2021 4:20,-27.2423,-50.2189,810787,11023,769659,30105,"Santa Catarina, Brazil",11316.27342,1.359543259
Sao Paulo,Brazil,02/04/2021 4:20,-23.5505,-46.6333,2496416,75734,2120478,300204,"Sao Paulo, Brazil",5436.558584,3.033709125
Sergipe,Brazil,02/04/2021 4:20,-10.5741,-37.3857,175582,3525,158658,13399,"Sergipe, Brazil",7638.330601,2.00760898
Tocantins,Brazil,02/04/2021 4:20,-10.1753,-48.2982,141913,2057,122028,17828,"Tocantins, Brazil",9022.574078,1.449479611
,Brunei,02/04/2021 4:20,4.5353,114.7277,213,3,195,15,Brunei,48.68760615,1.408450704
,Bulgaria,02/04/2021 4:20,42.7339,25.4858,346327,13313,262095,70919,Bulgaria,4984.23748,3.844054896
,Burkina Faso,02/04/2021 4:20,12.2383,-1.5616,12774,149,12420,205,Burkina Faso,61.1100326,1.166431815
,Burma,02/04/2021 4:20,21.9162,95.956,142466,3206,131802,7458,Burma,261.8388888,2.25036149
,Burundi,02/04/2021 4:20,-3.3731,29.9189,2842,6,773,2063,Burundi,23.90086909,0.21111893
,Cabo Verde,02/04/2021 4:20,16.5388,-23.0418,17587,169,16340,1078,Cabo Verde,3163.197767,0.960937056
,Cambodia,02/04/2021 4:20,11.55,104.9167,2477,14,1240,1223,Cambodia,14.81550509,0.565199839
,Cameroon,02/04/2021 4:20,3.848,11.5021,57337,851,35261,21225,Cameroon,215.9922163,1.484207405
Alberta,Canada,02/04/2021 4:20,53.9333,-116.5765,149207,1994,138560,8653,"Alberta, Canada",3380.966775,1.336398426
